gene_id,890_hisat2,913_hisat2,933_hisat2
BBB50_RS00005,35316,39934,41967
BBB50_RS00010,32255,28373,29638
BBB50_RS00015,12001,9617,12840
BBB50_RS00020,51789,65261,69902
BBB50_RS00025,1026,920,808
BBB50_RS00035,27382,21928,13799
BBB50_RS00040,16396,18026,19603
BBB50_RS00045,34408,38459,42050
BBB50_RS00050,19048,20440,23337
BBB50_RS00055,9827,9165,12468
BBB50_RS00060,434,365,493
BBB50_RS00065,475,355,520
BBB50_RS00070,52272,92901,74123
BBB50_RS00075,14614,16210,16284
BBB50_RS00080,7444,9334,9798
BBB50_RS00085,28660,30189,24839
BBB50_RS00090,22244,22429,19585
BBB50_RS00095,2845,3300,3579
BBB50_RS00100,57523,65230,61105
BBB50_RS00105,1333,729,784
BBB50_RS00110,1027,722,961
BBB50_RS00115,6229,7918,12517
BBB50_RS00120,5837,5889,6505
BBB50_RS00125,7956,5862,8228
BBB50_RS00130,8433,6380,6402
BBB50_RS00140,11467,9659,10079
BBB50_RS00145,45996,25621,27622
BBB50_RS00150,5841,4330,4803
BBB50_RS00155,5817,6034,6548
BBB50_RS00160,15655,15500,16354
BBB50_RS00165,11570,10620,11422
BBB50_RS00170,8802,8313,8788
BBB50_RS00175,28279,23478,26540
BBB50_RS00180,2629,2371,2621
BBB50_RS00185,2601,2326,2914
BBB50_RS00190,30507,29393,30865
BBB50_RS00195,6744,6327,6618
BBB50_RS00200,18865,11646,17570
BBB50_RS00205,13133,8597,12545
BBB50_RS00210,3181,2440,2332
BBB50_RS00215,4596,3502,3782
BBB50_RS00220,2236,2012,2240
BBB50_RS00225,1068,842,1019
BBB50_RS00230,7158,6775,5813
BBB50_RS00235,3166,2248,3071
BBB50_RS00245,1414,1933,2644
BBB50_RS00250,348,190,284
BBB50_RS00255,2950,3638,41410
BBB50_RS00260,0,0,0
BBB50_RS00265,177,68,141
BBB50_RS00270,166,104,138
BBB50_RS00275,3164,2656,3646
BBB50_RS00280,3894,3193,3579
BBB50_RS00285,3909,3911,4550
BBB50_RS00290,1690,1520,1620
BBB50_RS00295,127,105,164
BBB50_RS00300,2065,2099,1818
BBB50_RS00305,1720,1619,1816
BBB50_RS00310,19587,20731,24631
BBB50_RS00315,4842,5039,6053
BBB50_RS00320,41255,14193,30155
BBB50_RS00325,5765,3954,5744
BBB50_RS00330,12632,9501,11187
BBB50_RS00335,25132,9693,10850
BBB50_RS00340,5977,3420,4391
BBB50_RS00345,2768,1472,1800
BBB50_RS00350,9417,7506,8924
BBB50_RS00355,48953,33788,35953
BBB50_RS00365,69413,43412,41540
BBB50_RS00370,44948,15868,16631
BBB50_RS00375,16241,4123,5851
BBB50_RS00380,5919,4277,5039
BBB50_RS00385,17821,7003,7410
BBB50_RS00390,21132,15380,14769
BBB50_RS00395,9708,6565,6791
BBB50_RS00400,26827,17631,20380
BBB50_RS00405,3463,2664,3529
BBB50_RS00410,18737,15424,15973
BBB50_RS00415,2481,1701,2135
BBB50_RS00420,10342,2813,4895
BBB50_RS00425,14541,10188,10439
BBB50_RS00430,184140,218918,207891
BBB50_RS00435,57342,40486,34929
BBB50_RS00440,21648,12956,15690
BBB50_RS00445,7200,5439,5644
BBB50_RS00450,4575,4057,5063
BBB50_RS00460,12515,7783,8570
