libID	molngID	samplename	secundoname	species	genome_ver	fastqs	pi_name	requester_name	readType	annotation
SRR18052577	PRJNA807674	Oocyte_stage_I.3_2	s_oocyte_stage_i_3_2	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807674/SRR18052577/SRR18052577/SRR18052577_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18052578	PRJNA807674	Oocyte_stage_I.3_1	s_oocyte_stage_i_3_1	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807674/SRR18052578/SRR18052578/SRR18052578_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054176	PRJNA807702	Oocyte_stage_III_2	s_oocyte_stage_iii_2	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054176/SRR18054176/SRR18054176_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054177	PRJNA807702	Oocyte_stage_III_1	s_oocyte_stage_iii_1	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054177/SRR18054177/SRR18054177_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054178	PRJNA807702	Oocyte_stage_II_2	s_oocyte_stage_ii_2	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054178/SRR18054178/SRR18054178_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054179	PRJNA807702	Oocyte_stage_II_1	s_oocyte_stage_ii_1	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054179/SRR18054179/SRR18054179_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054180	PRJNA807702	Oocyte_stage_I.2_2	s_oocyte_stage_i_2_2	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054180/SRR18054180/SRR18054180_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054181	PRJNA807702	Oocyte_stage_I.2_1	s_oocyte_stage_i_2_1	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054181/SRR18054181/SRR18054181_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054182	PRJNA807702	Oocyte_stage_I.1_2	s_oocyte_stage_i_1_2	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054182/SRR18054182/SRR18054182_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
SRR18054183	PRJNA807702	Oocyte_stage_I.1_1	s_oocyte_stage_i_1_1	Danio_rerio	GRCz11	/n/core/Bioinformatics/PublicData/PRJNA807702/SRR18054183/SRR18054183/SRR18054183_1.fastq.gz	Trainor	fx2482	SingleEnd	Ens_110
